epoch,train_loss,train_acc,test_loss,test_acc,lr,epoch_time_sec
0,1.8226014595765334,36.83293269230769,1.7613336036682128,42.7,0.04000000000000001,155.58341884613037
1,1.5556521070309175,52.31370192307692,1.4969343027114868,57.26,0.06,166.09607982635498
2,1.2898707836102217,65.36858974358974,1.1482090444564819,71.66,0.08000000000000002,188.35015606880188
3,1.1290765718007698,72.76041666666667,1.08506900100708,75.02,0.1,169.60190510749817
4,1.0557064027358325,76.24399038461539,1.0813960775375366,75.36,0.1,158.91180872917175
5,0.9986719880348597,78.56570512820512,1.0864083148956298,75.62,0.09995614150494292,159.71947479248047
6,0.9696676142704792,79.9579326923077,1.0127830847740174,77.7,0.09982464296247523,157.72355723381042
7,0.9536074178341107,80.56891025641026,1.012007853126526,78.24,0.0996057350657239,158.40809535980225
8,0.9404003941095792,81.04567307692308,1.0110473278045655,78.21,0.09929980185352526,158.4386968612671
9,0.9249435927623357,81.8389423076923,1.033272261428833,76.56,0.09890738003669029,158.3037760257721
10,0.9171815048425626,81.98116987179488,0.9812616908073425,79.37,0.09842915805643156,159.180921792984
11,0.9103987209307842,82.52804487179488,0.9467178031921387,80.9,0.09786597487660337,160.31659197807312
12,0.9011265864739051,82.61017628205128,0.9348829970359802,81.51,0.09721881851187406,161.15729188919067
13,0.8943797982656039,83.2832532051282,0.8851231664657593,83.45,0.09648882429441258,162.13908886909485
14,0.8840053422328753,83.5556891025641,0.9306859511375427,81.57,0.09567727288213004,160.9632110595703
15,0.8782633099800501,83.77003205128206,0.960125287437439,80.25,0.09478558801197065,160.5562460422516
16,0.8744865577954513,83.92227564102564,0.9500451648712158,80.38,0.09381533400219318,164.15383291244507
17,0.8678854531202561,84.22275641025641,0.9276614364624023,81.75,0.09276821300802535,160.89277601242065
18,0.858775063814261,84.59134615384616,0.9137739910125733,82.16,0.09164606203550497,163.54834699630737
19,0.8571474844064468,84.79166666666667,0.9106670097351074,82.56,0.09045084971874738,161.550372838974
20,0.8499943471871889,85.08613782051282,0.8885958937644959,83.46,0.089184672866292,161.3419578075409
21,0.8477364922181154,85.10817307692308,0.9024636546134949,82.57,0.08784975278258783,162.30627822875977
22,0.8370371676408328,85.47275641025641,0.8947108821868897,82.97,0.08644843137107058,160.8940088748932
23,0.8337809293698042,85.79727564102564,0.8614110731124878,84.3,0.08498316702566827,165.3573350906372
24,0.8324026318696829,85.85136217948718,0.8395377772331237,84.87,0.08345653031794292,171.28054237365723
25,0.8253323911092221,85.92548076923077,0.9064454097747803,82.62,0.08187119948743449,188.93233394622803
26,0.8213781965084564,86.34214743589743,0.8175330150604248,86.16,0.08022995574311875,198.69632625579834
27,0.8187502069351,86.20192307692308,0.8821563941955567,83.51,0.0785356783842216,196.69086003303528
28,0.8074863449121132,86.74879807692308,0.85680800075531,84.73,0.07679133974894983,182.49073815345764
29,0.8109953615909967,86.57652243589743,0.868393144416809,84.27,0.07500000000000001,197.10439801216125
30,0.8050538281599681,86.84094551282051,0.8478885606765747,85.05,0.07316480175599309,212.40114212036133
31,0.7988217893319253,87.20352564102564,0.8408633295059205,85.1,0.07128896457825364,188.55216717720032
32,0.7891811480888954,87.75841346153847,0.8527315415382385,85.08,0.06937577932260515,209.24706888198853
33,0.7890318216421666,87.60016025641026,0.8534228462219239,85.03,0.06742860236609076,191.40885305404663
34,0.7852994816425519,87.70232371794872,0.8275150039672852,85.93,0.06545084971874737,208.7893431186676
35,0.7749888008985764,88.30528846153847,0.8562052867889405,84.77,0.06344599103076329,222.08400511741638
