run_name,weight_quant_bits,activation_quant_bits,prune_sparsity,quantized_acc,weight_compression_ratio,activation_compression_ratio,compression_ratio,model_size_mb,fp32_model_size_mb
unique-sweep-1,2,2,0,9.99,14.806628348626935,15.017274472168904,14.806628348626935,0.5674552917480469,8.402099609375
true-sweep-6,2,3,0,9.2,14.806628348626935,10.29247971935979,14.806628348626935,0.5674552917480469,8.402099609375
flowing-sweep-11,2,4,0,9.5,14.806628348626935,7.829219479653102,14.806628348626935,0.5674552917480469,8.402099609375
glowing-sweep-16,2,6,0,9.51,14.806628348626935,5.294834198060005,14.806628348626935,0.5674552917480469,8.402099609375
polar-sweep-21,2,8,0,9.44,14.806628348626935,4,14.806628348626935,0.5674552917480469,8.402099609375
eternal-sweep-2,3,2,0,25.01,10.1426611038967,15.017274472168904,10.1426611038967,0.8283920288085938,8.402099609375
fanciful-sweep-7,3,3,0,80.6,10.1426611038967,10.29247971935979,10.1426611038967,0.8283920288085938,8.402099609375
gallant-sweep-12,3,4,0,86.2,10.1426611038967,7.829219479653102,10.1426611038967,0.8283920288085938,8.402099609375
feasible-sweep-17,3,6,0,87.07,10.1426611038967,5.294834198060005,10.1426611038967,0.8283920288085938,8.402099609375
autumn-sweep-22,3,8,0,87.17,10.1426611038967,4,10.1426611038967,0.8283920288085938,8.402099609375
vital-sweep-3,4,2,0,37.05,7.713098077118374,15.017274472168904,7.713098077118374,1.0893287658691406,8.402099609375
vague-sweep-8,4,3,0,89.65,7.713098077118374,10.29247971935979,7.713098077118374,1.0893287658691406,8.402099609375
noble-sweep-13,4,4,0,92.42,7.713098077118374,7.829219479653102,7.713098077118374,1.0893287658691406,8.402099609375
balmy-moon-27,4,4,0.3,90.35,8.101079593467453,7.829219479653102,8.101079593467453,1.0371580123901367,8.402099609375
spring-voice-28,4,4,0.5,33.52,10.1426611038967,7.829219479653102,10.1426611038967,0.8283920288085938,8.402099609375
sandy-sweep-18,4,6,0,93.12,7.713098077118374,5.294834198060005,7.713098077118374,1.0893287658691406,8.402099609375
crisp-sweep-23,4,8,0,93.12,7.713098077118374,4,7.713098077118374,1.0893287658691406,8.402099609375
grateful-sweep-4,6,2,0,39.76,5.214801345749076,15.017274472168904,5.214801345749076,1.6112022399902344,8.402099609375
golden-sweep-9,6,3,0,90.66,5.214801345749076,10.29247971935979,5.214801345749076,1.6112022399902344,8.402099609375
jumping-sweep-14,6,4,0,93.4,5.214801345749076,7.829219479653102,5.214801345749076,1.6112022399902344,8.402099609375
fluent-sweep-19,6,6,0,93.83,5.214801345749076,5.294834198060005,5.214801345749076,1.6112022399902344,8.402099609375
cerulean-sweep-24,6,8,0,93.92,5.214801345749076,4,5.214801345749076,1.6112022399902344,8.402099609375
flowing-sweep-5,8,2,0,38.95,3.9389598567885074,15.017274472168904,3.9389598567885074,2.133075714111328,8.402099609375
fine-sweep-10,8,3,0,90.47,3.9389598567885074,10.29247971935979,3.9389598567885074,2.133075714111328,8.402099609375
fluent-sweep-15,8,4,0,93.23,3.9389598567885074,7.829219479653102,3.9389598567885074,2.133075714111328,8.402099609375
upbeat-sweep-20,8,6,0,93.97,3.9389598567885074,5.294834198060005,3.9389598567885074,2.133075714111328,8.402099609375
ethereal-sweep-25,8,8,0,94.03,3.9389598567885074,4,3.9389598567885074,2.133075714111328,8.402099609375
